Fault,Logistic Regression,Random Forest,LightGBM,MLP Neural Network,Best Model,Difficulty
1,0.8482,0.8277,0.8296,0.8293,Logistic Regression,Medium
2,0.8364,0.8213,0.8242,0.8258,Logistic Regression,Medium
3,0.1567,0.0155,0.0122,0.0115,Logistic Regression,Hard
4,0.7968,0.8421,0.8424,0.8423,LightGBM,Medium
5,0.8481,0.4293,0.8353,0.8359,Logistic Regression,Medium
6,0.8431,0.8331,0.8334,0.8335,Logistic Regression,Medium
7,0.8533,0.8321,0.8329,0.8329,Logistic Regression,Medium
8,0.4366,0.8006,0.8066,0.8087,MLP Neural Network,Medium
9,0.1415,0.018,0.014,0.0139,Logistic Regression,Hard
10,0.1636,0.445,0.6546,0.7322,MLP Neural Network,Medium
11,0.3118,0.6998,0.7172,0.7186,MLP Neural Network,Medium
12,0.5777,0.8155,0.8237,0.8211,LightGBM,Medium
13,0.6055,0.7826,0.7839,0.7874,MLP Neural Network,Medium
14,0.2599,0.8364,0.8369,0.8368,LightGBM,Medium
15,0.1361,0.0174,0.0143,0.0158,Logistic Regression,Hard
16,0.3098,0.2888,0.6507,0.7516,MLP Neural Network,Medium
17,0.7367,0.7772,0.7917,0.7977,MLP Neural Network,Medium
18,0.7692,0.7859,0.7873,0.7891,MLP Neural Network,Medium
19,0.1707,0.3052,0.6524,0.7559,MLP Neural Network,Medium
20,0.636,0.4872,0.5953,0.7434,MLP Neural Network,Medium
AVG,0.5219,0.583,0.6569,0.6792,MLP Neural Network,-
